feature_id,profession
6,"Agribusiness Entrepreneurs"
15,"Agribusiness Entrepreneurs"
16,"Agribusiness Entrepreneurs"
21,"Agribusiness Entrepreneurs"
17,"Agricultural Scientists"
34,Authors
67,Banks
67,Borrowers
70,Businesses
72,Businesses
31,Children
31,"Community Workers"
1,"Daily Wage Workers"
20,"Dairy Farmers"
7,Economists
8,Economists
32,Educators
33,Educators
37,Educators
22,Entrepreneurs
23,Entrepreneurs
24,Entrepreneurs
25,Entrepreneurs
28,Entrepreneurs
55,Entrepreneurs
57,Entrepreneurs
6,Exporters
19,Exporters
26,Exporters
27,Exporters
63,Exporters
64,Exporters
65,Exporters
6,Farmers
12,Farmers
13,Farmers
14,Farmers
15,Farmers
16,Farmers
17,Farmers
19,Farmers
20,Farmers
21,Farmers
28,Farmers
53,Farmers
60,Farmers
5,"Female Workforce"
18,Fishermen
20,Fishermen
3,"General Public"
4,"General Public"
7,"General Public"
8,"General Public"
9,"General Public"
10,"General Public"
11,"General Public"
14,"General Public"
30,"General Public"
34,"General Public"
39,"General Public"
40,"General Public"
42,"General Public"
43,"General Public"
44,"General Public"
45,"General Public"
46,"General Public"
48,"General Public"
49,"General Public"
51,"General Public"
52,"General Public"
66,"General Public"
72,"General Public"
33,"Healthcare Workers"
38,"Healthcare Workers"
21,"Industrial Workers"
35,"Industry Professionals"
47,Innovators
57,Innovators
43,Investors
45,Investors
50,Investors
54,Investors
55,Investors
58,Investors
66,Investors
70,Investors
71,Investors
35,"Job Seekers"
54,"Job Seekers"
55,"Job Seekers"
56,"Job Seekers"
1,"Low-Income Individuals"
41,"Low-Income Individuals"
68,"Low-Income Individuals"
26,Manufacturers
27,Manufacturers
29,Manufacturers
54,"Mining Companies"
67,"Policy Makers"
68,"Policy Makers"
69,"Policy Makers"
70,"Policy Makers"
34,Publishers
36,Researchers
57,Researchers
59,Researchers
60,Researchers
61,Researchers
69,Retirees
12,"Rural Communities"
13,"Rural Communities"
68,"Rural Population"
22,"Small Business Owners"
23,"Small Business Owners"
24,"Small Business Owners"
25,"Small Business Owners"
55,"Small Business Owners"
2,Students
28,Students
30,Students
32,Students
33,Students
36,Students
37,Students
38,Students
62,Students
2,Teachers
62,Teachers
58,Technologists
61,Technologists
19,"Textile Manufacturers"
56,"Tourism Entrepreneurs"
31,Women
35,Workers
30,Workforce
69,"Working Population"
